type_name;type_id;base_unit;device_class;temp_dependent
sensorContact;1;;;False
sensorTemperature;2;°C;temperature;True
sensorHumidity;3;%;humidity;False
sensorBrightness;4;lux;illuminance;False
sensorGlobalRadiation;5;W/m²;irradiance;False
sensorMotion;6;;;False
sensorPresence;7;;;False
targetTemperatureAir;8;°C;temperature;True
switchBinaryGeneric;9;;;False
switchPower;10;W;power;False
switchMultilevelGeneric;11;;;False
switchMultilevelPower;12;W;power;False
outputPwm;13;%;;False
outputDacPwm;14;%;;False
outputDac;15;;;False
thermostatHeatingMode;16;;;False
roomLocation;17;;;False
CO2Concentration;18;ppm;;False
AirPressure;19;hPa;pressure;False
IndoorAirQuality;20;;;False
targetTemperatureCLite;21;°C;temperature;True
wheel;22;;;False
sensorFlow;23;L/min;;False
sensorFrequency;24;Hz;frequency;False
sensorDuty;25;%;;False
sensorPulse (flow);26;L;;False
sensorPressure;27;bar;pressure;False
